birth,location
1931,"Verbovecs, Czechoslovakia"
1930,"Verbovecs, Czechoslovakia"
1934,"Krecsenew, Romania"
1888,"Csap, Czechoslovakia"
1925,"Mukacevo, Czechoslovakia"
1891,"Csap, Czechoslovakia"
1891,"Csap, Czechoslovakia"
1898,"Bácsalmás, Hungary"
1922,"Ilonca, Czechoslovakia"
1931,"Ilonca, Czechoslovakia"
1929,"Ilonca, Czechoslovakia"
,"Ilonca, Czechoslovakia"
1928,"Targu Lapus, Romania"
1919,"Targu Mures, Romania"
1928,"Ujfeherto, Hungary"
,"Ilonca, Czechoslovakia"
,
,"Cluj, Romania"
1894,"Hovos Mezo, Romania"
,"Sarvar, Hungary"
,"Egrespatak, Romania"
1930,"Kirva, Romania"
1932,"Kirva, Romania"
1935,"Kirva, Romania"
1938,"Kirva, Romania"
1857,"Kirva, Romania"
1898,"Kirva, Romania"
1901,"Sier, Romania"
1913,"Lipcse, Czechoslovakia"
1938,"Seir, Romania"
1900,"Sakfalva, Romania"
1927,"Bilki, Czechoslovakia"
1915,"Sopockin, Poland"
1894,"Riga, Latvia"
1910,"Rostoka,"
1886,"Koeln, Germany"
1897,"Lunca de Mijloc, Romania"
1889,"Komadi, Hungary"
1893,"Wien, Austria"
1892,"Subotica, Yugoslavia"
1891,"Berlin, Germany"
1893,"Berlin, Germany"
1929,"Hilden, Germany"
1915,"Nancy, France"
1876,"Duesseldorf, Germany"
1920,"Satoraljaujhely, Hungary"
,"Paris, France"
,"Lodz, Poland"
,"Lodz, Poland"
,"Lodz, Poland"
1888,"Berlin, Germany"
,"Bodzentyn, Poland"
1922,"Békéscsaba, Hungary"
1891,"Békéscsaba, Hungary"
1902,"Anvers, Belgium"
1921,"Beuthen, Germany"
,Germany
1900,"Warszawa, Poland"
1913,Romania
1889,"Vylok, Czechoslovakia"
1913,"Zawiercie, Poland"
1920,"Nowy Korczyn, Poland"
1932,"Kaunas, Lithuania"
1928,"Lodz, Poland"
1890,"Estenfeld ueber Wuerzburg, Germany"
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
1893,
1885,"Satoraljaujhely, Hungary"
1925,"Lodz, Poland"
,"Zawiercie, Poland"
1924,"Rajowiec Lubelski, Poland"
1914,Poland
1933,"Varazdin, Yugoslavia"
1908,"Varazdin, Yugoslavia"
1920,"Szikszo, Hungary"
1920,"Szikszo, Hungary"
,"Lodz, Poland"
1925,"Varazdin, Yugoslavia"
1932,"Lodz, Poland"
1910,"Lodz, Poland"
1898,"Berlin, Germany"
1905,"Sala nad Vahom, Czechoslovakia"
1922,"Sala, Czechoslovakia"
1898,Hungary
1912,Romania
1891,"Nyirsid, Romania"
,"Mateszalka, Hungary"
,"Mateszalka, Hungary"
1894,"Felsoderna, Romania"
1934,"Budapest, Hungary"
1932,"Budapest, Hungary"
,"Gabin, Poland"
1899,"Vaskut, Hungary"
,"Amsterdam, The Netherlands"
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
1895,"Amsterdam, The Netherlands"
1899,"Krakow, Poland"
1899,"Kapolna,"
1924,
1921,"Muttersholtz, France"
1927,"Kaunas, Lithuania"
1927,"Ujhely, Hungary"
1906,"Amsterdam, The Netherlands"
1888,"Nowy Zamki, Czechoslovakia"
1918,"Amsterdam, The Netherlands"
1901,"Amsterdam, The Netherlands"
1898,"Ruskova, Romania"
1932,"Secovce, Czechoslovakia"
1896,"Maehrisch Ostrau, Czechoslovakia"
1895,"Mateszalka, Hungary"
1903,"Siklos, Hungary"
,"Bácsalmás, Hungary"
1887,"Oradea, Romania"
1894,"Krnov, Czechoslovakia"
1905,"Baciu, Romania"
1925,"Satoraljaujhely, Hungary"
1891,"Satoraljaujhely, Hungary"
1930,"Satoraljaujhely, Hungary"
1887,"Magdeburg, Germany"
1894,"Satoraljaujhely, Hungary"
,"Levice, Czechoslovakia"
1893,"Berlin, Germany"
1925,"Ostrowiec, Poland"
1924,"Ostrowitz, Poland"
1926,"Nogradbercel, Hungary"
1921,"Nogradbercel, Hungary"
1897,"Lemgo, Germany"
1933,"Humenne, Czechoslovakia"
1895,"'S Gravenhage, The Netherlands"
1904,"Amsterdam, The Netherlands"
1908,"Den Dolder, The Netherlands"
1915,"Rotterdam, The Netherlands"
1907,"Bussum, The Netherlands"
1921,"Strasbourg, France"
1914,"Uhersky Brod, Czechoslovakia"
,"Pistany, Czechoslovakia"
1893,"Amsterdam, The Netherlands"
1925,"Budapest, Hungary"
1922,"Devecser,"
1924,"Devecser,"
1895,"Rakospalota, Hungary"
1881,"Ujpest, Hungary"
1929,"Groningen, The Netherlands"
1928,"Somogyszob, Hungary"
,"Nagyvarad, Romania"
1925,"Merk, Hungary"
1897,"Devecser,"
,
,"Bácsalmás, Hungary"
1900,"Bendzin, Poland"
1918,"Warszawa, Poland"
1901,"Krakow, Poland"
1924,"Liège, Belgium"
,"Lodz, Poland"
,"Sopockin, Poland"
,"Sopockin, Poland"
1903,"Krakow, Poland"
,"Bruxelles, Belgium"
,"Sopockinie, Poland"
1893,"Gyongyos, Hungary"
,"Subotica, Yugoslavia"
1928,"Dombovar, Hungary"
1927,"Sopockin, Poland"
,"Sopockinie, Poland"
,"Sopozken, Poland"
1903,Hungary
1936,"Kosice, Czechoslovakia"
1898,"Felsodabas, Hungary"
1905,"Paris, France"
1901,"Leipzig, Germany"
,"Wieliczka, Poland"
1904,"Leipzig, Germany"
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,"Ada, Yugoslavia"
1897,"Zalaegerszeg, Hungary"
1895,
1910,"Amsterdam, The Netherlands"
,"Dabrowa Gornicza, Poland"
,"Munkacs, Czechoslovakia"
1920,"Paris, France"
,"Sverepec, Czechoslovakia"
,"Auschwitz, Poland"
1910,"Ujpest, Hungary"
1903,"Budapest, Hungary"
1888,
1903,"Nagy Banya, Romania"
1862,"Oradea Mare, Romania"
,Poland
,"Tolcsva, Hungary"
,"Tolcsva, Hungary"
1907,"Eger, Hungary"
1895,"Tordas, Hungary"
1911,"Cluj, Romania"
1904,"Ozd, Hungary"
,"Ozd, Hungary"
1911,"Amsterdam, The Netherlands"
1942,"Kiraly Helmec, Czechoslovakia"
,"Sevlus, Czechoslovakia"
1895,"Roanne, France"
,Romania
1900,"Rakoscsaba, Hungary"
,"Bácsalmás, Hungary"
,"Nyiregyhaza, Hungary"
,"Nyiregyhaza, Hungary"
1890,"Nyiregyhaza, Hungary"
1913,"Sarvar, Hungary"
1907,"Sarvar, Hungary"
1896,"Budapest, Hungary"
1897,"Budapest, Hungary"
1900,"Szigetvar, Hungary"
,"Pecs, Hungary"
1903,"Baromlak, Czechoslovakia"
,"Skarzysko Kamienna, Poland"
1906,"Antwerpen, Belgium"
1876,"Mateszalka, Hungary"
,"Mateszalka, Hungary"
1909,"Prague, Czechoslovakia"
1920,"Antwerpen, Belgium"
1882,"Worms, Germany"
1884,"Muenchen, Germany"
1895,"Pestszenterzsebet, Hungary"
1926,"Oradea, Romania"
1877,"Oradea, Romania"
1877,"Oradea, Romania"
1913,"Oradea Mare, Romania"
1925,"Oradea, Romania"
1923,"Oradea Mare, Romania"
,"Oradea Mare, Romania"
1905,"Berlin, Germany"
1894,Belgium
1905,"Berlin, Germany"
1873,"Subotica, Yugoslavia"
,Hungary
1933,"Vienna, Austria"
1936,"Vienna, Austria"
1908,"Vienna, Austria"
1920,"Kunow, Poland"
1920,"Skarzysko Kamienna, Poland"
1915,"Lodz, Poland"
1902,"Lodz, Poland"
,"Miedzyrzec Podlaski, Poland"
1898,"Neusandec, Poland"
1891,"Varazdin, Yugoslavia"
1919,"Csoma,"
1943,"Csoma,"
1889,"Budapest, Hungary"
1926,"Bielsko Biala, Poland"
1887,"Nagykanizsa, Hungary"
1929,"Kisvarda, Hungary"
1876,"Varad, Hungary"
1902,"Krakow, Poland"
1925,"Mlawa, Poland"
1943,Romania
1884,"Wien, Austria"
1927,"Cluj, Romania"
1930,"Sopockinie, Poland"
1888,"Esch sur Alzette, Luxembourg"
1916,"Marseille, France"
1910,"Lodz, Poland"
1912,"Lodz, Poland"
1895,"Rhodes, Italy"
1887,"Rodi, Italy"
1922,"Tromsoe, Norway"
1897,"Amsterdam, The Netherlands"
1906,"Torino, Italy"
1914,"Essen, Germany"
1914,"Essen, Germany"
1883,"Trieste, Italy"
,
1899,
1936,"Pitigliano, Italy"
1911,"Frascati, Italy"
1908,"Krakow, Poland"
1922,"Sopochinie, Poland"
1926,"Sopockin, Poland"
1929,"Miskolc, Hungary"
1901,"Satu Mare, Romania"
,"Sopockinie, Poland"
1936,"Chust, Czechoslovakia"
1900,"Warszawa, Poland"
,"Hozow, Poland"
1897,"Paris, France"
1918,"Haarlem, The Netherlands"
1895,"Radom, Poland"
1889,"Nakel Netze, Poland"
1921,"Berlin, Germany"
1930,"Berlin, Germany"
1892,"Nakel Netze, Poland"
1880,"Paris, France"
1880,"Paris, France"
,"Sopockin, Poland"
1924,"Sopotzkin, Poland"
1913,"Sopotzkin, Poland"
,"Lodz, Poland"
,Belgium
1919,"Kowno, Lithuania"
1908,
,
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
1885,"Varazdin, Yugoslavia"
1914,"Amsterdam, The Netherlands"
,"Rhodes, Italy"
1916,"Arnhem, The Netherlands"
1918,"'S Gravenhage, The Netherlands"
1930,"Yanina, Greece"
1926,"Paris, France"
1900,France
1907,"Preveza, Greece"
1906,"Gramsbergen, The Netherlands"
1907,The Netherlands
1905,Turkey
1912,"Amsterdam, The Netherlands"
1874,"Berlin, Germany"
1892,"Berlin, Germany"
1934,"Berlin, Germany"
1908,"Schoenebeck Elbe, Germany"
1924,"Rhodes, Italy"
1925,"Thessaloniki, Greece"
1887,"Gyor, Hungary"
1887,"Gyor, Hungary"
1909,"Ostrowiec, Poland"
1892,"Paris, France"
1910,"Lodz, Poland"
1900,"Chrzanow, Poland"
1893,"Lodz, Poland"
1889,"Lodz, Poland"
1889,"Lodz, Poland"
1892,"Lodz, Poland"
1922,"Sosnowiec, Poland"
,"Sajoszentpeter, Hungary"
,"Sajoszentpeter, Hungary"
1907,"Sajoszentpeter, Hungary"
1924,"Banfalva, Czechoslovakia"
1911,"Hatvan, Hungary"
1938,"Kadarkut, Hungary"
1911,"Kadarkut, Hungary"
1899,"Kisvarda, Hungary"
1896,"Mako, Hungary"
1909,"Amsterdam, The Netherlands"
1919,"Rotterdam, The Netherlands"
1916,"Rotterdam, The Netherlands"
1910,"Geilenkirchen, Germany"
,Yugoslavia
,Yugoslavia
1899,"Sombor, Yugoslavia"
1900,"Novi Sad, Yugoslavia"
1932,"Novi Sad, Yugoslavia"
