birth,location,date
1897,"Antwerpen, Belgium",1897.01.01
1898,"Antwerpen, Belgium",1898.01.01
1898,"Antwerpen, Belgium",1898.01.01
1898,"Antwerpen, Belgium",1898.01.01
1900,"Antwerpen, Belgium",1900.01.01
1902,"Antwerpen, Belgium",1902.01.01
1902,"Antwerpen, Belgium",1902.01.01
1902,"Antwerpen, Belgium",1902.01.01
1903,"Antwerpen, Belgium",1903.01.01
1903,"Antwerpen, Belgium",1903.01.01
1904,"Antwerpen, Belgium",1904.01.01
1905,"Antwerpen, Belgium",1905.01.01
1905,"Antwerpen, Belgium",1905.01.01
1905,"Antwerpen, Belgium",1905.01.01
1906,"Antwerpen, Belgium",1906.01.01
1906,"Antwerpen, Belgium",1906.01.01
1907,"Antwerpen, Belgium",1907.01.01
1907,"Antwerpen, Belgium",1907.01.01
1907,"Antwerpen, Belgium",1907.01.01
1920,"Antwerpen, Belgium",1920.01.01
1921,"Antwerpen, Belgium",1921.01.01
1922,"Antwerpen, Belgium",1922.01.01
1923,"Antwerpen, Belgium",1923.01.01
1925,"Antwerpen, Belgium",1925.01.01
1926,"Antwerpen, Belgium",1926.01.01
1895,"Anvers, Belgium",1895.01.01
1902,"Anvers, Belgium",1902.01.01
1909,"Anvers, Belgium",1909.01.01
1909,"Anvers, Belgium",1909.01.01
1852,"Apatin, Yugoslavia",1852.01.01
1939,"Apolda, Germany",1939.01.01
1899,"Apoz,",1899.01.01
1915,"Apoz,",1915.01.01
1919,"Apsa, Czechoslovakia",1919.01.01
1922,"Apsa, Czechoslovakia",1922.01.01
1899,"Apsze, Czechoslovakia",1899.01.01
1892,"Arad, Romania",1892.01.01
1872,"Arnhem, The Netherlands",1872.01.01
1889,"Arnhem, The Netherlands",1889.01.01
1891,"Arnhem, The Netherlands",1891.01.01
1901,"Arnhem, The Netherlands",1901.01.01
1911,"Arnhem, The Netherlands",1911.01.01
1916,"Arnhem, The Netherlands",1916.01.01
1892,"Arta, Greece",1892.01.01
1925,"Arta, Greece",1925.01.01
1901,"Aszod, Hungary",1901.01.01
1908,"Athens, Greece",1908.01.01
1912,"Athens, Greece",1912.01.01
1923,"Athens, Greece",1923.01.01
1890,"Attendorn, Germany",1890.01.01
1899,"Auschwitz, Poland",1899.01.01
1893,"Auseu, Romania",1893.01.01
1888,Austria,1888.01.01
1901,Austria,1901.01.01
1898,"Bácsalmás, Hungary",1898.01.01
1888,"Békéscsaba, Hungary",1888.01.01
1891,"Békéscsaba, Hungary",1891.01.01
1897,"Békéscsaba, Hungary",1897.01.01
1900,"Békéscsaba, Hungary",1900.01.01
1921,"Békéscsaba, Hungary",1921.01.01
1922,"Békéscsaba, Hungary",1922.01.01
1923,"Békéscsaba, Hungary",1923.01.01
1928,"Békéscsaba, Hungary",1928.01.01
1932,"Békéscsaba, Hungary",1932.01.01
1918,"Bacau, Romania",1918.01.01
1905,"Baciu, Romania",1905.01.01
1901,"Backa Topola, Yugoslavia",1901.01.01
1905,"Backa Topola, Yugoslavia",1905.01.01
1908,"Backa Topola, Yugoslavia",1908.01.01
1896,"Backo Gradiste, Yugoslavia",1896.01.01
1898,"Backo Gradiste, Yugoslavia",1898.01.01
1912,"Backo Gradiste, Yugoslavia",1912.01.01
1880,"Backo Petrovo Selo, Yugoslavia",1880.01.01
1884,"Bacs,",1884.01.01
1895,"Bad Godesberg, Germany",1895.01.01
1886,"Bad Kreuznach, Germany",1886.01.01
1923,"Baden Baden, Germany",1923.01.01
1902,"Bagamer, Hungary",1902.01.01
1864,"Baia Mare, Romania",1864.01.01
1865,"Baia Mare, Romania",1865.01.01
1870,"Baia Mare, Romania",1870.01.01
1872,"Baia Mare, Romania",1872.01.01
1893,"Baia Mare, Romania",1893.01.01
1896,"Baia Mare, Romania",1896.01.01
1914,"Baia Mare, Romania",1914.01.01
1915,"Baia Mare, Romania",1915.01.01
1943,"Baia Mare, Romania",1943.01.01
1921,"Baj, Hungary",1921.01.01
1882,"Baja, Hungary",1882.01.01
1894,"Baja, Hungary",1894.01.01
1896,"Baja, Hungary",1896.01.01
1896,"Baja, Hungary",1896.01.01
1897,"Baja, Hungary",1897.01.01
1901,"Baja, Hungary",1901.01.01
1912,"Baja, Hungary",1912.01.01
1906,"Bajmok, Yugoslavia",1906.01.01
1886,"Balassagyarmat, Hungary",1886.01.01
1890,"Balassagyarmat, Hungary",1890.01.01
1895,"Balassagyarmat, Hungary",1895.01.01
1895,"Balatonfured, Hungary",1895.01.01
1910,"Balmazújváros, Hungary",1910.01.01
1924,"Balmazújváros, Hungary",1924.01.01
1904,"Baluschki,",1904.01.01
1902,"Ban, Romania",1902.01.01
1924,"Banfalva, Czechoslovakia",1924.01.01
1887,"Banfi Huniad, Romania",1887.01.01
1897,"Banja Luka, Yugoslavia",1897.01.01
1898,"Banja Luka, Yugoslavia",1898.01.01
1905,"Banja Luka, Yugoslavia",1905.01.01
1944,"Banska Bystrica, Czechoslovakia",1944.01.01
1891,"Baranc, Czechoslovakia",1891.01.01
1924,"Barcika, Hungary",1924.01.01
1924,"Barcs, Hungary",1924.01.01
1884,"Bardejov, Czechoslovakia",1884.01.01
1889,"Bardejov, Czechoslovakia",1889.01.01
1899,"Bardejov, Czechoslovakia",1899.01.01
1925,"Barkasove, Czechoslovakia",1925.01.01
1923,"Barkasovo, Czechoslovakia",1923.01.01
1903,"Baromlak, Czechoslovakia",1903.01.01
1880,"Barsana, Romania",1880.01.01
1874,"Barycz, Poland",1874.01.01
1907,"Bataszek, Hungary",1907.01.01
1924,"Bataszek, Hungary",1924.01.01
1884,"Batevo, Czechoslovakia",1884.01.01
1918,"Batevo, Czechoslovakia",1918.01.01
1905,"Batover, Czechoslovakia",1905.01.01
1918,"Batovo, Czechoslovakia",1918.01.01
1894,"Bayonne, France",1894.01.01
1939,"Bedziny, Poland",1939.01.01
1915,"Bekescaba, Hungary",1915.01.01
1928,"Bekescaba, Hungary",1928.01.01
1930,"Bekescaba, Hungary",1930.01.01
1892,Belgium,1892.01.01
1894,Belgium,1894.01.01
1902,Belgium,1902.01.01
1909,Belgium,1909.01.01
1910,Belgium,1910.01.01
1925,Belgium,1925.01.01
1926,Belgium,1926.01.01
1874,"Belgrad, Yugoslavia",1874.01.01
1879,"Belgrad, Yugoslavia",1879.01.01
1902,"Belgrad, Yugoslavia",1902.01.01
1904,"Belgrad, Yugoslavia",1904.01.01
1880,"Belgrade, Yugoslavia",1880.01.01
1890,"Belgrade, Yugoslavia",1890.01.01
1900,"Belgrade, Yugoslavia",1900.01.01
1908,"Belgrade, Yugoslavia",1908.01.01
1897,"Belzyce, Poland",1897.01.01
1899,"Bendin, Poland",1899.01.01
1900,"Bendin, Poland",1900.01.01
1912,"Bendin, Poland",1912.01.01
1912,"Bendin, Poland",1912.01.01
1888,"Bendzin, Poland",1888.01.01
1896,"Bendzin, Poland",1896.01.01
1900,"Bendzin, Poland",1900.01.01
1908,"Bendzin, Poland",1908.01.01
1920,"Bendzin, Poland",1920.01.01
1921,"Bendzin, Poland",1921.01.01
1929,"Bendzin, Poland",1929.01.01
1903,"Benfeld, France",1903.01.01
1915,"Benzien, Poland",1915.01.01
1882,"Beograd, Yugoslavia",1882.01.01
1892,"Beograd, Yugoslavia",1892.01.01
1900,"Beograd, Yugoslavia",1900.01.01
1903,"Beograd, Yugoslavia",1903.01.01
1908,"Beograd, Yugoslavia",1908.01.01
1910,"Beograd, Yugoslavia",1910.01.01
1919,"Beograd, Yugoslavia",1919.01.01
1923,"Beograd, Yugoslavia",1923.01.01
1926,"Beograd, Yugoslavia",1926.01.01
1928,"Beograd, Yugoslavia",1928.01.01
1900,"Berbest, Romania",1900.01.01
1880,"Berbesti, Romania",1880.01.01
1904,"Berbesti, Romania",1904.01.01
1905,"Berbesti, Romania",1905.01.01
1906,"Berbesti, Romania",1906.01.01
1891,"Berchem, Belgium",1891.01.01
1894,"Beregdaroc, Hungary",1894.01.01
1924,"Beregdubroka, Czechoslovakia",1924.01.01
1923,"Beregkovesd, Czechoslovakia",1923.01.01
1882,"Beregsas, Czechoslovakia",1882.01.01
1898,"Beregsas, Czechoslovakia",1898.01.01
1864,"Beregszasz, Czechoslovakia",1864.01.01
1883,"Beregszasz, Czechoslovakia",1883.01.01
1890,"Beregszasz, Czechoslovakia",1890.01.01
1890,"Beregszasz, Czechoslovakia",1890.01.01
1891,"Beregszasz, Czechoslovakia",1891.01.01
1892,"Beregszasz, Czechoslovakia",1892.01.01
1893,"Beregszasz, Czechoslovakia",1893.01.01
1893,"Beregszasz, Czechoslovakia",1893.01.01
1895,"Beregszasz, Czechoslovakia",1895.01.01
1896,"Beregszasz, Czechoslovakia",1896.01.01
1897,"Beregszasz, Czechoslovakia",1897.01.01
1898,"Beregszasz, Czechoslovakia",1898.01.01
1908,"Beregszasz, Czechoslovakia",1908.01.01
1909,"Beregszasz, Czechoslovakia",1909.01.01
1909,"Beregszasz, Czechoslovakia",1909.01.01
1911,"Beregszasz, Czechoslovakia",1911.01.01
1919,"Beregszasz, Czechoslovakia",1919.01.01
1925,"Beregszasz, Czechoslovakia",1925.01.01
1925,"Beregszasz, Czechoslovakia",1925.01.01
1925,"Beregszasz, Czechoslovakia",1925.01.01
1930,"Beregszasz, Czechoslovakia",1930.01.01
1884,"Berehovo, Czechoslovakia",1884.01.01
1904,"Berehovo, Czechoslovakia",1904.01.01
1911,"Berehovo, Czechoslovakia",1911.01.01
1884,"Berettyoujfalu, Hungary",1884.01.01
1888,"Berettyoujfalu, Hungary",1888.01.01
1890,"Berettyoujfalu, Hungary",1890.01.01
1893,"Berettyoujfalu, Hungary",1893.01.01
1900,"Berettyoujfalu, Hungary",1900.01.01
1901,"Berettyoujfalu, Hungary",1901.01.01
1907,"Berettyoujfalu, Hungary",1907.01.01
1925,"Berettyoujfalu, Hungary",1925.01.01
1936,"Berettyoujfalu, Hungary",1936.01.01
1897,"Berezev, Czechoslovakia",1897.01.01
1931,"Berezna, Czechoslovakia",1931.01.01
1901,"Berezovo, Czechoslovakia",1901.01.01
1924,"Bergsas, Czechoslovakia",1924.01.01
1882,"Berhida, Hungary",1882.01.01
1885,"Berhida, Hungary",1885.01.01
1888,"Berhida, Hungary",1888.01.01
1864,"Berlin, Germany",1864.01.01
1866,"Berlin, Germany",1866.01.01
1868,"Berlin, Germany",1868.01.01
1872,"Berlin, Germany",1872.01.01
1873,"Berlin, Germany",1873.01.01
1874,"Berlin, Germany",1874.01.01
1876,"Berlin, Germany",1876.01.01
1876,"Berlin, Germany",1876.01.01
1876,"Berlin, Germany",1876.01.01
1876,"Berlin, Germany",1876.01.01
1876,"Berlin, Germany",1876.01.01
1879,"Berlin, Germany",1879.01.01
1880,"Berlin, Germany",1880.01.01
1880,"Berlin, Germany",1880.01.01
1882,"Berlin, Germany",1882.01.01
1882,"Berlin, Germany",1882.01.01
1883,"Berlin, Germany",1883.01.01
1884,"Berlin, Germany",1884.01.01
1885,"Berlin, Germany",1885.01.01
1885,"Berlin, Germany",1885.01.01
1885,"Berlin, Germany",1885.01.01
1885,"Berlin, Germany",1885.01.01
1886,"Berlin, Germany",1886.01.01
1886,"Berlin, Germany",1886.01.01
1886,"Berlin, Germany",1886.01.01
1886,"Berlin, Germany",1886.01.01
1887,"Berlin, Germany",1887.01.01
